pedido_id;data_pedido;item;produto_id;descricao_produto;ordem_compra;qtde_pedida;filial_id;data_entrega;qtde_entregue;qtde_pendente;preco_compra;fornecedor_id
1;02/01/2025;1;P1;Produto 1;1;96;1;27/02/2025;10;0;46,67;1
2;07/01/2025;1;P2;Produto 2;2;14;1;07/01/2025;7;0;77,32;2
3;05/01/2025;1;P3;Produto 3;3;12;1;03/01/2025;2;0;47,82;3
4;22/01/2025;1;P4;Produto 4;4;27;1;28/01/2025;3;0;49,57;4
5;28/01/2025;1;P5;Produto 5;5;35;1;28/02/2025;12;0;57,18;5
6;22/02/2025;1;P6;Produto 6;6;98;1;05/01/2025;55;0;59,96;6
7;01/03/2025;1;P7;Produto 7;7;34;1;01/02/2025;29;0;49,22;7
8;02/02/2025;1;P8;Produto 8;8;29;1;14/02/2025;24;0;35,88;8
9;15/01/2025;1;P9;Produto 9;9;57;1;28/01/2025;34;0;28,48;9
10;09/01/2025;1;P10;Produto 10;10;49;1;09/02/2025;4;0;42,86;10
11;22/02/2025;1;P11;Produto 11;11;24;1;08/01/2025;12;0;14,82;11
12;25/02/2025;1;P12;Produto 12;12;91;1;20/02/2025;48;0;6,92;12
13;23/02/2025;1;P13;Produto 13;13;99;1;02/02/2025;91;0;65,44;13
14;21/01/2025;1;P14;Produto 14;14;96;1;01/01/2025;27;0;21,91;14
15;04/02/2025;1;P15;Produto 15;15;45;1;04/01/2025;1;0;85,04;15
16;27/02/2025;1;P16;Produto 16;16;84;1;14/01/2025;51;0;64,17;16
17;08/01/2025;1;P17;Produto 17;17;22;1;19/01/2025;7;0;74,55;17
18;17/02/2025;1;P18;Produto 18;18;63;1;02/01/2025;17;0;24,94;18
19;19/02/2025;1;P19;Produto 19;0;20;1;08/01/2025;0;0;22,21;19
20;10/02/2025;1;P20;Produto 20;0;25;1;15/01/2025;0;0;38,51;20
21;25/02/2025;1;P12;Produto 12;0;12;1;20/02/2025;0;0;6,92;12
22;23/02/2025;1;P13;Produto 13;0;4;1;02/02/2025;0;0;65,44;13
23;21/01/2025;1;P14;Produto 14;0;6;1;01/01/2025;0;0;21,91;14
24;04/02/2025;1;P15;Produto 15;0;8;1;04/01/2025;0;0;85,04;15
25;27/02/2025;1;P16;Produto 16;0;9;1;14/01/2025;0;0;64,17;16
26;08/01/2025;1;P17;Produto 17;0;4;1;19/01/2025;0;0;74,55;17
27;17/02/2025;1;P18;Produto 18;0;3;1;02/01/2025;0;0;24,94;18
28;19/02/2025;1;P19;Produto 19;0;3;1;08/01/2025;0;0;22,21;19
29;10/02/2025;1;P20;Produto 20;0;2;1;15/01/2025;0;0;38,51;20
